,Arts___Entertainment,Beauty___Fitness,Books___Literature,Entertainment_Industry,Games,Hobbies___Leisure,Cleaning_Supplies___Services,Laundry,Astrology___Divination,Pets___Animals,Libraries___Museums,Entertainment_Media,Gifts___Special_Event_Items,Photo___Video_Services,Ticket_Sales,Sports
2016-06-19,82.0,57.0,76.0,42.0,74.0,41.0,59.0,47.0,60.0,75.0,58.0,74.0,71.0,68.0,17.0,26.0
2016-06-26,82.0,58.0,77.0,38.0,81.0,42.0,65.0,44.0,62.0,75.0,55.0,66.0,69.0,82.0,20.0,28.0
2016-07-03,92.0,72.0,77.0,41.0,83.0,54.0,67.0,52.0,74.0,85.0,62.0,66.0,76.0,73.0,24.0,22.0
2016-07-10,89.0,62.0,81.0,45.0,79.0,41.0,57.0,49.0,71.0,84.0,49.0,71.0,68.0,87.0,20.0,18.0
2016-07-17,95.0,62.0,84.0,41.0,89.0,43.0,62.0,70.0,69.0,83.0,50.0,71.0,71.0,75.0,35.0,18.0
2016-07-24,93.0,65.0,79.0,34.0,83.0,46.0,70.0,65.0,72.0,87.0,52.0,70.0,71.0,85.0,26.0,30.0
2016-07-31,95.0,68.0,82.0,43.0,91.0,46.0,56.0,45.0,94.0,87.0,54.0,79.0,72.0,71.0,17.0,31.0
2016-08-07,100.0,65.0,83.0,40.0,92.0,51.0,66.0,57.0,74.0,84.0,54.0,77.0,74.0,83.0,24.0,33.0
2016-08-14,97.0,69.0,79.0,39.0,89.0,49.0,65.0,44.0,70.0,96.0,53.0,63.0,71.0,83.0,22.0,47.0
2016-08-21,95.0,66.0,78.0,36.0,94.0,47.0,62.0,45.0,63.0,89.0,61.0,73.0,72.0,74.0,34.0,36.0
2016-08-28,88.0,64.0,81.0,38.0,86.0,46.0,55.0,56.0,61.0,89.0,43.0,68.0,72.0,71.0,28.0,31.0
2016-09-04,90.0,64.0,85.0,39.0,82.0,48.0,80.0,76.0,62.0,87.0,66.0,73.0,74.0,75.0,19.0,27.0
2016-09-11,93.0,68.0,84.0,45.0,84.0,51.0,59.0,46.0,64.0,88.0,51.0,69.0,73.0,76.0,24.0,17.0
2016-09-18,90.0,68.0,97.0,39.0,79.0,48.0,79.0,60.0,66.0,90.0,55.0,76.0,74.0,67.0,20.0,16.0
2016-09-25,92.0,60.0,96.0,39.0,78.0,52.0,48.0,56.0,60.0,91.0,55.0,68.0,77.0,72.0,20.0,17.0
2016-10-02,93.0,60.0,97.0,33.0,80.0,55.0,55.0,55.0,62.0,92.0,47.0,71.0,99.0,83.0,18.0,19.0
2016-10-09,92.0,62.0,95.0,33.0,79.0,51.0,58.0,65.0,67.0,95.0,42.0,73.0,75.0,72.0,14.0,19.0
2016-10-16,91.0,62.0,100.0,37.0,75.0,48.0,71.0,50.0,62.0,89.0,44.0,69.0,77.0,96.0,13.0,18.0
2016-10-23,91.0,63.0,92.0,36.0,76.0,51.0,61.0,64.0,60.0,85.0,49.0,68.0,86.0,68.0,26.0,19.0
2016-10-30,94.0,63.0,93.0,31.0,85.0,50.0,68.0,65.0,63.0,86.0,66.0,73.0,80.0,86.0,17.0,24.0
2016-11-06,87.0,60.0,95.0,37.0,75.0,47.0,63.0,60.0,66.0,86.0,51.0,69.0,77.0,68.0,26.0,24.0
2016-11-13,89.0,59.0,93.0,38.0,73.0,45.0,62.0,53.0,67.0,87.0,53.0,65.0,74.0,77.0,29.0,23.0
2016-11-20,86.0,61.0,95.0,43.0,78.0,49.0,65.0,63.0,62.0,86.0,48.0,72.0,77.0,89.0,22.0,27.0
2016-11-27,85.0,64.0,87.0,34.0,81.0,52.0,59.0,61.0,65.0,82.0,52.0,63.0,80.0,70.0,19.0,20.0
2016-12-04,85.0,63.0,85.0,35.0,83.0,52.0,57.0,53.0,66.0,86.0,61.0,75.0,78.0,61.0,20.0,17.0
2016-12-11,86.0,64.0,88.0,41.0,85.0,52.0,59.0,50.0,73.0,100.0,56.0,77.0,76.0,66.0,25.0,16.0
2016-12-18,93.0,73.0,81.0,42.0,92.0,66.0,66.0,48.0,73.0,89.0,59.0,74.0,86.0,74.0,22.0,18.0
2016-12-25,99.0,67.0,88.0,44.0,93.0,100.0,70.0,70.0,77.0,96.0,62.0,88.0,89.0,73.0,26.0,28.0
2017-01-01,94.0,62.0,82.0,45.0,77.0,59.0,67.0,44.0,96.0,87.0,51.0,72.0,85.0,79.0,19.0,24.0
2017-01-08,89.0,60.0,77.0,48.0,69.0,45.0,68.0,45.0,72.0,86.0,54.0,70.0,79.0,85.0,20.0,19.0
2017-01-15,83.0,60.0,81.0,44.0,65.0,45.0,77.0,47.0,72.0,96.0,57.0,70.0,73.0,74.0,22.0,24.0
2017-01-22,86.0,56.0,80.0,43.0,67.0,46.0,72.0,53.0,74.0,86.0,57.0,68.0,73.0,72.0,26.0,29.0
2017-01-29,82.0,58.0,76.0,37.0,66.0,44.0,68.0,46.0,66.0,83.0,58.0,70.0,71.0,77.0,24.0,27.0
2017-02-05,86.0,57.0,80.0,37.0,70.0,46.0,60.0,49.0,61.0,85.0,43.0,69.0,74.0,64.0,21.0,25.0
2017-02-12,86.0,58.0,90.0,46.0,69.0,61.0,65.0,46.0,67.0,90.0,51.0,69.0,82.0,82.0,17.0,24.0
2017-02-19,83.0,56.0,80.0,43.0,71.0,46.0,66.0,48.0,56.0,89.0,45.0,66.0,69.0,67.0,23.0,32.0
2017-02-26,88.0,59.0,86.0,87.0,75.0,47.0,66.0,56.0,65.0,86.0,52.0,71.0,69.0,75.0,19.0,20.0
2017-03-05,86.0,62.0,84.0,48.0,82.0,46.0,61.0,71.0,63.0,84.0,54.0,81.0,69.0,68.0,17.0,35.0
2017-03-12,81.0,60.0,82.0,49.0,76.0,44.0,64.0,63.0,60.0,88.0,45.0,70.0,65.0,84.0,28.0,31.0
2017-03-19,84.0,58.0,83.0,43.0,72.0,43.0,81.0,61.0,69.0,88.0,45.0,76.0,65.0,74.0,21.0,26.0
2017-03-26,86.0,60.0,78.0,40.0,71.0,44.0,56.0,42.0,60.0,84.0,41.0,79.0,69.0,69.0,28.0,33.0
2017-04-02,87.0,65.0,76.0,41.0,78.0,43.0,69.0,60.0,66.0,82.0,48.0,76.0,63.0,64.0,30.0,30.0
