,Hospitals & Treatment Centers
2025-10-19,78.8799660519788
2025-10-26,93.5864004006528
2025-11-02,93.5864004006528
2025-11-09,94.92334897780499
2025-11-16,89.57555466919626
2025-11-23,88.23860609204408
2025-11-30,93.5864004006528
2025-12-07,81.55386320628315
2025-12-14,94.92334897780499
2025-12-21,96.26029755495718
2025-12-28,92.24945182350062
2026-01-04,96.26029755495718
